NOSE_x,NOSE_y,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,LEFT_EAR_x,LEFT_EAR_y,RIGHT_EAR_x,RIGHT_EAR_y,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_RIGHT_x,MOUTH_RIGHT_y,LEFT_SHOULDER_x,LEFT_SHOULDER_y,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,LEFT_ELBOW_x,LEFT_ELBOW_y,RIGHT_ELBOW_x,RIGHT_ELBOW_y,LEFT_WRIST_x,LEFT_WRIST_y,RIGHT_WRIST_x,RIGHT_WRIST_y,LEFT_PINKY_x,LEFT_PINKY_y,RIGHT_PINKY_x,RIGHT_PINKY_y,LEFT_INDEX_x,LEFT_INDEX_y,RIGHT_INDEX_x,RIGHT_INDEX_y,LEFT_THUMB_x,LEFT_THUMB_y,RIGHT_THUMB_x,RIGHT_THUMB_y,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y,LEFT_HEEL_x,LEFT_HEEL_y,RIGHT_HEEL_x,RIGHT_HEEL_y,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y
750.4673767089844,17.59681463241577,745.5874633789062,2.422785758972168,745.2722930908203,2.2797274589538574,744.7792053222656,2.0925307273864746,740.5699920654297,0.976109504699707,736.5309906005859,-0.34366607666015625,732.0114135742188,-1.7330074310302734,725.0632476806641,3.51762056350708,708.6186218261719,0.3911733627319336,744.8919677734375,30.017459392547607,738.7542724609375,29.719626903533936,719.0731048583984,94.87129926681519,651.5239715576172,92.82434463500977,708.0763244628906,226.8155336380005,642.7595520019531,229.49124097824097,729.7400665283203,330.93738555908203,662.8638458251953,340.58398246765137,731.7910003662109,348.3436346054077,659.6958923339844,370.72978019714355,728.9019012451172,360.6396961212158,670.5506134033203,369.98682975769043,722.9645538330078,350.53218841552734,673.3007049560547,361.20326042175293,704.0232849121094,307.3619484901428,667.7403259277344,309.66809034347534,730.6472015380859,452.33622550964355,684.1275024414062,468.70452404022217,697.0197296142578,566.061544418335,656.6300201416016,600.6941413879395,675.8585357666016,586.143479347229,648.2756042480469,613.3161449432373,752.0066833496094,603.7629318237305,698.3314514160156,649.5224475860596
750.2446746826172,17.413627803325653,745.6186676025391,1.9788027182221413,745.2922058105469,1.7485573701560497,744.7946929931641,1.5311836078763008,740.7060241699219,0.5714745540171862,736.759033203125,-0.7940206211060286,732.4079895019531,-2.224526423960924,725.0588226318359,3.1191884726285934,709.0746307373047,-0.7201476395130157,743.756103515625,30.021541714668274,738.1289672851562,29.63501662015915,717.5401306152344,90.77480435371399,650.1743316650391,91.42537951469421,712.2218322753906,215.60160398483276,642.5380706787109,227.48655796051025,731.2081146240234,317.61343717575073,663.1324768066406,342.89040327072144,736.5008544921875,338.99787425994873,660.0019073486328,371.33437156677246,736.8934631347656,338.8631200790405,672.0524597167969,370.8720874786377,728.3502960205078,336.74514055252075,674.7012329101562,362.16404914855957,713.4951782226562,310.6126356124878,670.9989929199219,314.6586084365845,731.1226654052734,454.0637397766113,682.4180603027344,474.49745178222656,697.2754669189453,567.9322671890259,658.8529968261719,605.2041149139404,678.5956573486328,585.9050846099854,648.2746887207031,625.7733964920044,756.4596557617188,602.1108198165894,699.6172332763672,663.1672954559326
748.5958099365234,17.239631563425064,744.7345733642578,1.5631327405571938,744.3456268310547,1.247787857428193,743.8727569580078,0.9586881380528212,740.0840759277344,0.23359525948762894,736.1949157714844,-1.1536380462348461,731.9317626953125,-2.6047553680837154,724.3513488769531,2.433848362416029,708.8179779052734,-1.428062729537487,741.2126159667969,29.95245337486267,735.7809448242188,29.499103724956512,710.9111022949219,86.64205133914948,649.7969055175781,89.55540239810944,712.7883148193359,211.29595041275024,642.1473693847656,226.20650053024292,730.5458831787109,313.95230770111084,663.1622314453125,342.9237914085388,736.2544250488281,339.76966381073,660.0889587402344,371.37338161468506,736.6093444824219,335.2341556549072,672.9722595214844,370.89478969573975,728.7128448486328,332.3829674720764,675.4214477539062,362.1681261062622,713.7991333007812,311.0117697715759,672.4420928955078,315.7239603996277,730.1750183105469,454.12317752838135,681.2544250488281,474.786057472229,697.1858215332031,568.0209302902222,660.5509948730469,605.724720954895,678.7751770019531,585.7606744766235,648.5262298583984,628.0697536468506,759.3659210205078,599.08447265625,704.4390869140625,665.3355073928833
748.6109924316406,17.51303717494011,746.0661315917969,1.5673875622451305,745.6511688232422,1.2471905630081892,745.150146484375,0.9439039696007967,741.59912109375,0.25573572143912315,737.7346801757812,-1.1401788890361786,733.4381103515625,-2.6015145890414715,725.0478363037109,1.9225085154175758,709.4031524658203,-2.2680072113871574,741.2068939208984,30.35797119140625,735.7675170898438,29.682100117206573,710.8906555175781,85.52110254764557,649.2595672607422,88.86607468128204,713.2264709472656,209.4995355606079,641.7963409423828,225.86873531341553,730.3816986083984,309.38815355300903,663.1639099121094,343.0875563621521,735.9181213378906,331.6083025932312,660.0838470458984,371.4820432662964,736.8852996826172,328.235285282135,673.1545257568359,370.95452785491943,731.0350036621094,323.99160146713257,675.8148956298828,362.20683574676514,714.4686126708984,312.5172185897827,673.690185546875,318.1492567062378,726.9364929199219,454.15536403656006,678.8549041748047,474.95136737823486,697.1006011962891,567.9962968826294,660.1515197753906,605.6618070602417,679.6961975097656,585.7413196563721,647.3067474365234,629.1779136657715,759.5594787597656,595.7541990280151,704.1185760498047,665.222339630127
748.5747528076172,18.809936195611954,746.1509704589844,2.4987656995654106,745.6961059570312,2.016174104064703,745.1625061035156,1.5679530054330826,741.9493865966797,1.4971738681197166,738.2801055908203,0.16213779570534825,734.2204284667969,-1.242691408842802,724.9434661865234,2.078437563031912,709.8690032958984,-1.8054455146193504,740.9791564941406,31.424425542354584,735.7124328613281,30.863881409168243,711.1545562744141,85.60242712497711,648.0808258056641,88.48168730735779,713.0880737304688,207.73966312408447,641.4964294433594,224.72143650054932,728.7738800048828,307.60512828826904,662.6403045654297,342.67653465270996,734.5832824707031,329.65627670288086,659.9087524414062,371.3143730163574,736.7823791503906,327.3424959182739,673.0840301513672,370.50915241241455,730.8438873291016,322.5368142127991,675.6772613525391,361.696400642395,714.6804809570312,313.4531593322754,673.6247253417969,319.2462158203125,724.8243713378906,454.1027069091797,677.1492767333984,475.759334564209,697.5926208496094,567.8824424743652,659.6022796630859,605.2632522583008,681.3645172119141,585.5891847610474,646.6023254394531,627.8746175765991,761.3272094726562,593.1491088867188,703.8877868652344,665.3613424301147
748.2929229736328,18.638648986816406,746.0818481445312,1.7021999135613441,745.6050872802734,1.1273010168224573,745.0526428222656,0.6163930892944336,741.8795013427734,0.7556600868701935,738.2030487060547,-0.6099738506600261,734.149169921875,-2.012806925922632,724.3824005126953,0.801235930994153,709.6343994140625,-2.7273437194526196,740.4536437988281,31.19554191827774,735.096435546875,30.588150322437286,711.2523651123047,84.51980710029602,647.0299530029297,88.07884097099304,713.0069732666016,205.3241515159607,641.1744689941406,223.65582704544067,728.7385559082031,303.065242767334,662.5662994384766,342.581090927124,734.8957824707031,325.72617530822754,659.9185943603516,371.21326446533203,737.6944732666016,324.2871165275574,673.0685424804688,370.29560565948486,732.8931427001953,316.0750937461853,675.5508422851562,361.5534496307373,714.8980712890625,313.7361431121826,673.8324737548828,319.6450710296631,722.3692321777344,453.9901399612427,676.007080078125,477.38440990448,697.0353698730469,567.8643751144409,659.4400024414062,605.7798671722412,681.2889099121094,585.5864810943604,645.2595520019531,629.6023035049438,760.9555053710938,590.9885787963867,704.5716857910156,664.4363880157471
746.8334197998047,18.146953135728836,745.2986907958984,1.1739453859627247,744.8841857910156,0.6724826898425817,744.4126892089844,0.25455737253651023,741.0114288330078,0.13750400044955313,737.3555755615234,-1.170774009078741,733.3787536621094,-2.514128889888525,723.9759063720703,0.6951253535225987,709.376220703125,-2.8924452513456345,738.6393737792969,30.596741437911987,733.2926940917969,29.734400510787964,710.5412292480469,83.77703905105591,647.0869445800781,87.44325935840607,712.4418640136719,203.86865615844727,641.0271453857422,221.88992500305176,728.3980560302734,300.95674753189087,662.5701904296875,341.1880588531494,734.6095275878906,323.8702154159546,659.9526214599609,370.9434127807617,737.4983215332031,323.2277512550354,673.0557250976562,369.8890256881714,732.4862670898438,315.334997177124,675.5907440185547,361.0256338119507,715.2208709716797,313.7983703613281,675.3594207763672,320.1697325706482,722.1839904785156,452.21378803253174,676.1933898925781,477.1633529663086,697.1253204345703,567.0937013626099,659.2494201660156,605.6967830657959,682.2859954833984,585.4409980773926,645.1856231689453,628.9297342300415,760.6370544433594,588.295168876648,704.9970245361328,662.7772808074951
746.8299102783203,15.712102800607681,745.2748107910156,-1.8852734193205833,744.8707580566406,-2.2301664389669895,744.4022369384766,-2.463680561631918,740.9207153320312,-3.0317015200853348,737.2330474853516,-4.255890883505344,733.1957244873047,-5.472182147204876,723.9372253417969,-0.93916199170053,709.3025207519531,-4.454953707754612,738.7391662597656,28.79032999277115,733.3059692382812,28.01971524953842,710.6065368652344,82.72705078125,647.1298980712891,87.48201191425323,712.3933410644531,203.09321880340576,641.4145660400391,222.02116012573242,728.4181976318359,300.32052755355835,662.9161071777344,340.97811698913574,734.3558502197266,323.54976654052734,661.1622619628906,370.96933364868164,737.4200439453125,323.111515045166,674.04296875,369.92417335510254,732.2132873535156,314.85968828201294,676.5087127685547,361.03468894958496,714.9606323242188,314.09246921539307,675.8903503417969,321.06539726257324,721.6667938232422,450.7939338684082,676.3516235351562,476.9918203353882,697.1261596679688,564.1646003723145,658.6585998535156,607.228217124939,682.3215484619141,583.1900024414062,644.0249633789062,632.4291372299194,760.538330078125,587.537841796875,706.8553924560547,662.3818159103394
747.2714233398438,15.13861432671547,745.9275817871094,-2.4644563905894756,745.5896759033203,-2.7701368555426598,745.1597595214844,-2.955687716603279,741.5289306640625,-3.504325859248638,737.877197265625,-4.6223098039627075,733.8995361328125,-5.7167986035346985,725.3372192382812,-0.9493529610335827,710.9365844726562,-4.397877641022205,739.6733093261719,28.427153527736664,734.4898986816406,27.67206609249115,711.4744567871094,82.54424214363098,648.0049133300781,87.11032748222351,712.5067901611328,202.08940744400024,642.9054260253906,221.28949642181396,728.3723449707031,299.6419286727905,664.0236663818359,340.42431592941284,732.2984313964844,323.70441198349,662.3044586181641,370.7595634460449,737.3233795166016,322.95302867889404,674.9745178222656,369.78113651275635,732.1420288085938,314.5979046821594,677.899169921875,360.72136402130127,714.9095916748047,315.1915955543518,676.0470581054688,322.1511125564575,720.3803253173828,451.11348152160645,676.7171478271484,476.8281412124634,695.526123046875,564.2154550552368,658.4444427490234,607.886152267456,681.6709136962891,583.2176399230957,644.0158081054688,633.88267993927,758.9264678955078,587.36008644104,707.7494049072266,662.1623468399048
759.3226623535156,21.004102528095245,759.4200134277344,4.392709359526634,759.2018127441406,4.126641266047955,758.8909912109375,3.8703156262636185,754.6808624267578,2.9307760298252106,750.9385681152344,1.4633500389754772,746.5679168701172,-0.2519861818291247,739.5649719238281,4.329466223716736,722.0014190673828,-1.7156087793409824,750.3766632080078,35.19274950027466,745.2430725097656,33.8027349114418,717.6020050048828,87.6605612039566,655.1436614990234,89.37992691993713,713.2804870605469,205.27688026428223,645.3636932373047,225.09982109069824,725.0627136230469,299.8107576370239,664.7999572753906,343.5520935058594,727.9054260253906,327.0378828048706,662.8724670410156,372.4848461151123,732.0066833496094,324.6636128425598,675.0857543945312,371.64490699768066,727.2076416015625,314.85936641693115,677.8495025634766,362.9662227630615,711.2729644775391,317.36639499664307,673.3096313476562,324.8626112937927,716.7198181152344,452.69486904144287,675.3572845458984,479.1179323196411,695.9623718261719,565.2110481262207,657.2422790527344,611.0630035400391,682.8392028808594,584.4205141067505,643.5255432128906,635.1358509063721,758.8933563232422,590.0640964508057,707.9737091064453,662.4970865249634
